@relation segment

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Mitochondria,Background}

@data
195.000366,200.600243,2637.823977,-41.599653,201.897611,3442.979454,-103.48483,-61.885177,150.760235,8089.170575,-125.86239,-84.262736,-22.377559,87.391916,9609.172856,Mitochondria
219,216.599998,2026.299973,-46.117935,213.53846,2869.157013,-114.002335,-67.884398,161.456043,7918.664551,-138.427948,-92.310011,-24.425613,90.23077,9854.814941,Mitochondria
255,245.111232,620.153589,-54.958377,236.504431,1492.383753,-132.0771,-77.118723,180.018389,7514.867681,-160.24282,-105.284442,-28.165719,97.574845,10391.486063,Mitochondria
255,255,0,-49.663727,253.98077,54.01923,-134.460186,-84.796463,203.87912,6315.507446,-168.267151,-118.603428,-33.806965,111.229681,10869.637207,Mitochondria
255,255,0,-37.761784,251.431648,298.666274,-115.970434,-78.20865,215.212757,5728.790194,-153.522878,-115.761094,-37.552443,126.551906,10914.607733,Mitochondria
255,255,0,-39.221501,252.95084,77.310292,-109.988606,-70.767105,216.657439,5210.711435,-144.644013,-105.42252,-34.655415,131.809838,10945.541661,Mitochondria
255,254.366705,24.065197,-41.179701,250.461725,331.940385,-108.661095,-67.481393,214.042329,5309.770085,-141.755421,-100.575726,-33.094333,131.842052,10943.644436,Mitochondria
255,254.366705,24.065197,-43.442272,247.743696,602.837543,-107.640403,-64.198131,210.69424,5531.301585,-139.101424,-95.659156,-31.461025,131.455972,10877.781098,Mitochondria
255,253.944495,40.109151,-44.768206,243.230789,992.399999,-105.137236,-60.36903,204.679418,6376.857246,-135.416703,-90.648498,-30.279468,131.014575,10802.281875,Mitochondria
255,251.333553,405.976173,-45.257872,238.530273,1482.140092,-101.64549,-56.387618,200.52127,6806.651659,-130.115829,-84.857957,-28.470339,130.279516,10700.969567,Mitochondria
255,251.305491,90.252016,-54.958375,241.25413,1031.834633,-109.802389,-54.844015,180.338437,6440.669713,-158.2927,-103.334331,-48.490317,130.546553,8851.950191,Mitochondria
255,250.799986,184.401215,-41.645449,245.442298,462.799782,-101.488005,-59.842556,201.583385,5049.272081,-158.371324,-116.725875,-56.883319,143.784167,9049.171929,Mitochondria
255,249.199978,344.402435,-34.423882,243.980749,547.63805,-94.139566,-59.715684,208.532153,4623.482456,-155.028052,-120.60417,-60.888486,151.684084,8949.576768,Mitochondria
